id,answer
1,5
2,7
3,2
4,6
5,6
6,8
7,1
8,4
9,4
10,7
11,4
12,1
13,6
14,4
15,7
16,1
17,8
18,5
19,2
20,2
21,3
22,6
23,3
24,3
25,5
26,6
27,6
28,7
29,4
30,3
31,4
32,2
33,8
34,5
35,3
36,2
37,8
38,6
39,4
40,8
41,7
42,6
43,4
44,1
45,3
46,1
47,2
48,8
49,6
50,5
51,7
52,4
53,9
54,9
55,9
56,9
57,9
58,9
59,9
60,9
61,10
62,10
63,10
64,5
65,3
66,7
67,6
68,1
69,2
70,8
71,4
72,7
73,6
74,5
75,6
76,5
77,9
78,9
79,6
80,7
81,6
82,6
83,4
84,5
85,4
86,3
87,7
88,3
89,4
90,5
91,4
92,4
93,5
94,4
95,4
96,5
97,7
98,5
99,4
100,1
